unified_path,decomposed_paths,feature,feature_value,pair,pair_loc,object_loc,object_ind,response
data/vlm/2D/rmts/images/trial-7.png,"['data/vlm/2D/rmts/images/source-7.png', 'data/vlm/2D/rmts/images/target1-7.png', 'data/vlm/2D/rmts/images/target2-7.png']",color,darkorange,source,top,left,1st,[circle].
data/vlm/2D/rmts/images/trial-67.png,"['data/vlm/2D/rmts/images/source-67.png', 'data/vlm/2D/rmts/images/target1-67.png', 'data/vlm/2D/rmts/images/target2-67.png']",shape,square,source,top,left,1st,[circle].
data/vlm/2D/rmts/images/trial-86.png,"['data/vlm/2D/rmts/images/source-86.png', 'data/vlm/2D/rmts/images/target1-86.png', 'data/vlm/2D/rmts/images/target2-86.png']",shape,cross,source,top,left,1st,[circle].
data/vlm/2D/rmts/images/trial-170.png,"['data/vlm/2D/rmts/images/source-170.png', 'data/vlm/2D/rmts/images/target1-170.png', 'data/vlm/2D/rmts/images/target2-170.png']",color,blue,source,top,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-103.png,"['data/vlm/2D/rmts/images/source-103.png', 'data/vlm/2D/rmts/images/target1-103.png', 'data/vlm/2D/rmts/images/target2-103.png']",shape,cross,target2,bottom right,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-169.png,"['data/vlm/2D/rmts/images/source-169.png', 'data/vlm/2D/rmts/images/target1-169.png', 'data/vlm/2D/rmts/images/target2-169.png']",color,blue,target2,bottom right,left,1st,[circle]
data/vlm/2D/rmts/images/trial-58.png,"['data/vlm/2D/rmts/images/source-58.png', 'data/vlm/2D/rmts/images/target1-58.png', 'data/vlm/2D/rmts/images/target2-58.png']",color,purple,target2,bottom right,right,2nd,[Target Pair 2].
data/vlm/2D/rmts/images/trial-21.png,"['data/vlm/2D/rmts/images/source-21.png', 'data/vlm/2D/rmts/images/target1-21.png', 'data/vlm/2D/rmts/images/target2-21.png']",color,darkorange,target2,bottom right,right,2nd,[Target Pair 2].
data/vlm/2D/rmts/images/trial-146.png,"['data/vlm/2D/rmts/images/source-146.png', 'data/vlm/2D/rmts/images/target1-146.png', 'data/vlm/2D/rmts/images/target2-146.png']",shape,cross,target1,bottom left,left,1st,[red]
data/vlm/2D/rmts/images/trial-171.png,"['data/vlm/2D/rmts/images/source-171.png', 'data/vlm/2D/rmts/images/target1-171.png', 'data/vlm/2D/rmts/images/target2-171.png']",color,gray,source,top,left,1st,[circle].
data/vlm/2D/rmts/images/trial-91.png,"['data/vlm/2D/rmts/images/source-91.png', 'data/vlm/2D/rmts/images/target1-91.png', 'data/vlm/2D/rmts/images/target2-91.png']",shape,triangle,target1,bottom left,left,1st,[circle].
data/vlm/2D/rmts/images/trial-161.png,"['data/vlm/2D/rmts/images/source-161.png', 'data/vlm/2D/rmts/images/target1-161.png', 'data/vlm/2D/rmts/images/target2-161.png']",shape,circle,target2,bottom right,left,1st,[circle].
data/vlm/2D/rmts/images/trial-189.png,"['data/vlm/2D/rmts/images/source-189.png', 'data/vlm/2D/rmts/images/target1-189.png', 'data/vlm/2D/rmts/images/target2-189.png']",shape,cloud,source,top,left,1st,[Target Pair 2].
data/vlm/2D/rmts/images/trial-150.png,"['data/vlm/2D/rmts/images/source-150.png', 'data/vlm/2D/rmts/images/target1-150.png', 'data/vlm/2D/rmts/images/target2-150.png']",shape,cross,source,top,left,1st,[circle].
data/vlm/2D/rmts/images/trial-119.png,"['data/vlm/2D/rmts/images/source-119.png', 'data/vlm/2D/rmts/images/target1-119.png', 'data/vlm/2D/rmts/images/target2-119.png']",shape,cloud,target2,bottom right,right,2nd,[red].
data/vlm/2D/rmts/images/trial-99.png,"['data/vlm/2D/rmts/images/source-99.png', 'data/vlm/2D/rmts/images/target1-99.png', 'data/vlm/2D/rmts/images/target2-99.png']",shape,cross,target2,bottom right,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-35.png,"['data/vlm/2D/rmts/images/source-35.png', 'data/vlm/2D/rmts/images/target1-35.png', 'data/vlm/2D/rmts/images/target2-35.png']",color,green,target1,bottom left,left,1st,[circle].
data/vlm/2D/rmts/images/trial-81.png,"['data/vlm/2D/rmts/images/source-81.png', 'data/vlm/2D/rmts/images/target1-81.png', 'data/vlm/2D/rmts/images/target2-81.png']",color,gray,source,top,left,1st,[circle].
data/vlm/2D/rmts/images/trial-68.png,"['data/vlm/2D/rmts/images/source-68.png', 'data/vlm/2D/rmts/images/target1-68.png', 'data/vlm/2D/rmts/images/target2-68.png']",shape,circle,target1,bottom left,left,1st,[circle].
data/vlm/2D/rmts/images/trial-182.png,"['data/vlm/2D/rmts/images/source-182.png', 'data/vlm/2D/rmts/images/target1-182.png', 'data/vlm/2D/rmts/images/target2-182.png']",color,red,target2,bottom right,left,1st,[Target Pair 2].
data/vlm/2D/rmts/images/trial-128.png,"['data/vlm/2D/rmts/images/source-128.png', 'data/vlm/2D/rmts/images/target1-128.png', 'data/vlm/2D/rmts/images/target2-128.png']",color,purple,source,top,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-100.png,"['data/vlm/2D/rmts/images/source-100.png', 'data/vlm/2D/rmts/images/target1-100.png', 'data/vlm/2D/rmts/images/target2-100.png']",color,darkorange,target2,bottom right,left,1st,[circle].
data/vlm/2D/rmts/images/trial-186.png,"['data/vlm/2D/rmts/images/source-186.png', 'data/vlm/2D/rmts/images/target1-186.png', 'data/vlm/2D/rmts/images/target2-186.png']",shape,heart,target1,bottom left,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-137.png,"['data/vlm/2D/rmts/images/source-137.png', 'data/vlm/2D/rmts/images/target1-137.png', 'data/vlm/2D/rmts/images/target2-137.png']",color,gray,target1,bottom left,left,1st,[circle].
data/vlm/2D/rmts/images/trial-41.png,"['data/vlm/2D/rmts/images/source-41.png', 'data/vlm/2D/rmts/images/target1-41.png', 'data/vlm/2D/rmts/images/target2-41.png']",color,green,source,top,left,1st,[circle].
data/vlm/2D/rmts/images/trial-92.png,"['data/vlm/2D/rmts/images/source-92.png', 'data/vlm/2D/rmts/images/target1-92.png', 'data/vlm/2D/rmts/images/target2-92.png']",color,blue,target2,bottom right,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-110.png,"['data/vlm/2D/rmts/images/source-110.png', 'data/vlm/2D/rmts/images/target1-110.png', 'data/vlm/2D/rmts/images/target2-110.png']",shape,heart,source,top,left,1st,[circle].
data/vlm/2D/rmts/images/trial-163.png,"['data/vlm/2D/rmts/images/source-163.png', 'data/vlm/2D/rmts/images/target1-163.png', 'data/vlm/2D/rmts/images/target2-163.png']",color,darkorange,target2,bottom right,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-42.png,"['data/vlm/2D/rmts/images/source-42.png', 'data/vlm/2D/rmts/images/target1-42.png', 'data/vlm/2D/rmts/images/target2-42.png']",shape,circle,target2,bottom right,left,1st,[circle].
data/vlm/2D/rmts/images/trial-18.png,"['data/vlm/2D/rmts/images/source-18.png', 'data/vlm/2D/rmts/images/target1-18.png', 'data/vlm/2D/rmts/images/target2-18.png']",color,gray,target2,bottom right,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-71.png,"['data/vlm/2D/rmts/images/source-71.png', 'data/vlm/2D/rmts/images/target1-71.png', 'data/vlm/2D/rmts/images/target2-71.png']",color,blue,target1,bottom left,right,2nd,[red].
data/vlm/2D/rmts/images/trial-11.png,"['data/vlm/2D/rmts/images/source-11.png', 'data/vlm/2D/rmts/images/target1-11.png', 'data/vlm/2D/rmts/images/target2-11.png']",color,blue,source,top,right,2nd,[Target Pair 2].
data/vlm/2D/rmts/images/trial-125.png,"['data/vlm/2D/rmts/images/source-125.png', 'data/vlm/2D/rmts/images/target1-125.png', 'data/vlm/2D/rmts/images/target2-125.png']",color,purple,target1,bottom left,left,1st,[circle].
data/vlm/2D/rmts/images/trial-108.png,"['data/vlm/2D/rmts/images/source-108.png', 'data/vlm/2D/rmts/images/target1-108.png', 'data/vlm/2D/rmts/images/target2-108.png']",shape,circle,target2,bottom right,left,1st,[Target Pair 2].
data/vlm/2D/rmts/images/trial-14.png,"['data/vlm/2D/rmts/images/source-14.png', 'data/vlm/2D/rmts/images/target1-14.png', 'data/vlm/2D/rmts/images/target2-14.png']",shape,cross,source,top,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-114.png,"['data/vlm/2D/rmts/images/source-114.png', 'data/vlm/2D/rmts/images/target1-114.png', 'data/vlm/2D/rmts/images/target2-114.png']",shape,circle,target2,bottom right,left,1st,[circle].
data/vlm/2D/rmts/images/trial-175.png,"['data/vlm/2D/rmts/images/source-175.png', 'data/vlm/2D/rmts/images/target1-175.png', 'data/vlm/2D/rmts/images/target2-175.png']",shape,square,target2,bottom right,left,1st,[circle]
data/vlm/2D/rmts/images/trial-140.png,"['data/vlm/2D/rmts/images/source-140.png', 'data/vlm/2D/rmts/images/target1-140.png', 'data/vlm/2D/rmts/images/target2-140.png']",shape,triangle,source,top,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-9.png,"['data/vlm/2D/rmts/images/source-9.png', 'data/vlm/2D/rmts/images/target1-9.png', 'data/vlm/2D/rmts/images/target2-9.png']",shape,cloud,source,top,left,1st,[circle].
data/vlm/2D/rmts/images/trial-193.png,"['data/vlm/2D/rmts/images/source-193.png', 'data/vlm/2D/rmts/images/target1-193.png', 'data/vlm/2D/rmts/images/target2-193.png']",color,red,source,top,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-80.png,"['data/vlm/2D/rmts/images/source-80.png', 'data/vlm/2D/rmts/images/target1-80.png', 'data/vlm/2D/rmts/images/target2-80.png']",shape,circle,target1,bottom left,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-121.png,"['data/vlm/2D/rmts/images/source-121.png', 'data/vlm/2D/rmts/images/target1-121.png', 'data/vlm/2D/rmts/images/target2-121.png']",shape,circle,target1,bottom left,left,1st,[circle].
data/vlm/2D/rmts/images/trial-28.png,"['data/vlm/2D/rmts/images/source-28.png', 'data/vlm/2D/rmts/images/target1-28.png', 'data/vlm/2D/rmts/images/target2-28.png']",color,red,target1,bottom left,right,2nd,[Target Pair 2].
data/vlm/2D/rmts/images/trial-185.png,"['data/vlm/2D/rmts/images/source-185.png', 'data/vlm/2D/rmts/images/target1-185.png', 'data/vlm/2D/rmts/images/target2-185.png']",color,green,target1,bottom left,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-90.png,"['data/vlm/2D/rmts/images/source-90.png', 'data/vlm/2D/rmts/images/target1-90.png', 'data/vlm/2D/rmts/images/target2-90.png']",shape,circle,target2,bottom right,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-76.png,"['data/vlm/2D/rmts/images/source-76.png', 'data/vlm/2D/rmts/images/target1-76.png', 'data/vlm/2D/rmts/images/target2-76.png']",shape,cross,source,top,left,1st,[circle].
data/vlm/2D/rmts/images/trial-46.png,"['data/vlm/2D/rmts/images/source-46.png', 'data/vlm/2D/rmts/images/target1-46.png', 'data/vlm/2D/rmts/images/target2-46.png']",color,darkorange,target1,bottom left,left,1st,[X].
data/vlm/2D/rmts/images/trial-52.png,"['data/vlm/2D/rmts/images/source-52.png', 'data/vlm/2D/rmts/images/target1-52.png', 'data/vlm/2D/rmts/images/target2-52.png']",color,gray,source,top,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-16.png,"['data/vlm/2D/rmts/images/source-16.png', 'data/vlm/2D/rmts/images/target1-16.png', 'data/vlm/2D/rmts/images/target2-16.png']",color,gray,target1,bottom left,left,1st,[circle].
data/vlm/2D/rmts/images/trial-2.png,"['data/vlm/2D/rmts/images/source-2.png', 'data/vlm/2D/rmts/images/target1-2.png', 'data/vlm/2D/rmts/images/target2-2.png']",color,green,target2,bottom right,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-51.png,"['data/vlm/2D/rmts/images/source-51.png', 'data/vlm/2D/rmts/images/target1-51.png', 'data/vlm/2D/rmts/images/target2-51.png']",shape,cloud,target1,bottom left,left,1st,[circle].
data/vlm/2D/rmts/images/trial-23.png,"['data/vlm/2D/rmts/images/source-23.png', 'data/vlm/2D/rmts/images/target1-23.png', 'data/vlm/2D/rmts/images/target2-23.png']",color,red,target2,bottom right,left,1st,[circle].
data/vlm/2D/rmts/images/trial-33.png,"['data/vlm/2D/rmts/images/source-33.png', 'data/vlm/2D/rmts/images/target1-33.png', 'data/vlm/2D/rmts/images/target2-33.png']",color,green,target1,bottom left,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-95.png,"['data/vlm/2D/rmts/images/source-95.png', 'data/vlm/2D/rmts/images/target1-95.png', 'data/vlm/2D/rmts/images/target2-95.png']",color,green,source,top,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-138.png,"['data/vlm/2D/rmts/images/source-138.png', 'data/vlm/2D/rmts/images/target1-138.png', 'data/vlm/2D/rmts/images/target2-138.png']",color,darkorange,target1,bottom left,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-118.png,"['data/vlm/2D/rmts/images/source-118.png', 'data/vlm/2D/rmts/images/target1-118.png', 'data/vlm/2D/rmts/images/target2-118.png']",color,darkorange,source,top,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-130.png,"['data/vlm/2D/rmts/images/source-130.png', 'data/vlm/2D/rmts/images/target1-130.png', 'data/vlm/2D/rmts/images/target2-130.png']",color,green,source,top,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-183.png,"['data/vlm/2D/rmts/images/source-183.png', 'data/vlm/2D/rmts/images/target1-183.png', 'data/vlm/2D/rmts/images/target2-183.png']",color,green,target2,bottom right,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-30.png,"['data/vlm/2D/rmts/images/source-30.png', 'data/vlm/2D/rmts/images/target1-30.png', 'data/vlm/2D/rmts/images/target2-30.png']",color,purple,source,top,left,1st,[circle].
data/vlm/2D/rmts/images/trial-74.png,"['data/vlm/2D/rmts/images/source-74.png', 'data/vlm/2D/rmts/images/target1-74.png', 'data/vlm/2D/rmts/images/target2-74.png']",color,green,target1,bottom left,left,1st,[circle].
data/vlm/2D/rmts/images/trial-94.png,"['data/vlm/2D/rmts/images/source-94.png', 'data/vlm/2D/rmts/images/target1-94.png', 'data/vlm/2D/rmts/images/target2-94.png']",shape,cross,target1,bottom left,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-122.png,"['data/vlm/2D/rmts/images/source-122.png', 'data/vlm/2D/rmts/images/target1-122.png', 'data/vlm/2D/rmts/images/target2-122.png']",shape,square,target2,bottom right,left,1st,[circle].
data/vlm/2D/rmts/images/trial-115.png,"['data/vlm/2D/rmts/images/source-115.png', 'data/vlm/2D/rmts/images/target1-115.png', 'data/vlm/2D/rmts/images/target2-115.png']",color,green,source,top,right,2nd,[Target Pair 2].
data/vlm/2D/rmts/images/trial-89.png,"['data/vlm/2D/rmts/images/source-89.png', 'data/vlm/2D/rmts/images/target1-89.png', 'data/vlm/2D/rmts/images/target2-89.png']",color,green,source,top,right,2nd,[red].
data/vlm/2D/rmts/images/trial-155.png,"['data/vlm/2D/rmts/images/source-155.png', 'data/vlm/2D/rmts/images/target1-155.png', 'data/vlm/2D/rmts/images/target2-155.png']",shape,square,source,top,left,1st,[circle].
data/vlm/2D/rmts/images/trial-173.png,"['data/vlm/2D/rmts/images/source-173.png', 'data/vlm/2D/rmts/images/target1-173.png', 'data/vlm/2D/rmts/images/target2-173.png']",shape,cloud,target2,bottom right,right,2nd,[X].
data/vlm/2D/rmts/images/trial-5.png,"['data/vlm/2D/rmts/images/source-5.png', 'data/vlm/2D/rmts/images/target1-5.png', 'data/vlm/2D/rmts/images/target2-5.png']",shape,circle,target1,bottom left,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-25.png,"['data/vlm/2D/rmts/images/source-25.png', 'data/vlm/2D/rmts/images/target1-25.png', 'data/vlm/2D/rmts/images/target2-25.png']",shape,cloud,source,top,left,1st,[circle].
data/vlm/2D/rmts/images/trial-143.png,"['data/vlm/2D/rmts/images/source-143.png', 'data/vlm/2D/rmts/images/target1-143.png', 'data/vlm/2D/rmts/images/target2-143.png']",color,green,target2,bottom right,left,1st,[circle].
data/vlm/2D/rmts/images/trial-59.png,"['data/vlm/2D/rmts/images/source-59.png', 'data/vlm/2D/rmts/images/target1-59.png', 'data/vlm/2D/rmts/images/target2-59.png']",shape,cloud,source,top,left,1st,[red]
data/vlm/2D/rmts/images/trial-43.png,"['data/vlm/2D/rmts/images/source-43.png', 'data/vlm/2D/rmts/images/target1-43.png', 'data/vlm/2D/rmts/images/target2-43.png']",shape,cross,target2,bottom right,left,1st,[circle].
data/vlm/2D/rmts/images/trial-49.png,"['data/vlm/2D/rmts/images/source-49.png', 'data/vlm/2D/rmts/images/target1-49.png', 'data/vlm/2D/rmts/images/target2-49.png']",color,blue,target1,bottom left,left,1st,[circle].
data/vlm/2D/rmts/images/trial-70.png,"['data/vlm/2D/rmts/images/source-70.png', 'data/vlm/2D/rmts/images/target1-70.png', 'data/vlm/2D/rmts/images/target2-70.png']",shape,heart,source,top,left,1st,[circle].
data/vlm/2D/rmts/images/trial-135.png,"['data/vlm/2D/rmts/images/source-135.png', 'data/vlm/2D/rmts/images/target1-135.png', 'data/vlm/2D/rmts/images/target2-135.png']",shape,cloud,source,top,left,1st,[Target Pair 2].
data/vlm/2D/rmts/images/trial-93.png,"['data/vlm/2D/rmts/images/source-93.png', 'data/vlm/2D/rmts/images/target1-93.png', 'data/vlm/2D/rmts/images/target2-93.png']",color,darkorange,target2,bottom right,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-66.png,"['data/vlm/2D/rmts/images/source-66.png', 'data/vlm/2D/rmts/images/target1-66.png', 'data/vlm/2D/rmts/images/target2-66.png']",color,purple,target1,bottom left,left,1st,[circle].
data/vlm/2D/rmts/images/trial-198.png,"['data/vlm/2D/rmts/images/source-198.png', 'data/vlm/2D/rmts/images/target1-198.png', 'data/vlm/2D/rmts/images/target2-198.png']",shape,square,source,top,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-10.png,"['data/vlm/2D/rmts/images/source-10.png', 'data/vlm/2D/rmts/images/target1-10.png', 'data/vlm/2D/rmts/images/target2-10.png']",shape,square,target2,bottom right,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-124.png,"['data/vlm/2D/rmts/images/source-124.png', 'data/vlm/2D/rmts/images/target1-124.png', 'data/vlm/2D/rmts/images/target2-124.png']",color,purple,source,top,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-78.png,"['data/vlm/2D/rmts/images/source-78.png', 'data/vlm/2D/rmts/images/target1-78.png', 'data/vlm/2D/rmts/images/target2-78.png']",shape,cloud,source,top,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-126.png,"['data/vlm/2D/rmts/images/source-126.png', 'data/vlm/2D/rmts/images/target1-126.png', 'data/vlm/2D/rmts/images/target2-126.png']",shape,triangle,target1,bottom left,left,1st,[circle].
data/vlm/2D/rmts/images/trial-109.png,"['data/vlm/2D/rmts/images/source-109.png', 'data/vlm/2D/rmts/images/target1-109.png', 'data/vlm/2D/rmts/images/target2-109.png']",shape,heart,target1,bottom left,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-116.png,"['data/vlm/2D/rmts/images/source-116.png', 'data/vlm/2D/rmts/images/target1-116.png', 'data/vlm/2D/rmts/images/target2-116.png']",shape,triangle,target2,bottom right,left,1st,[circle].
data/vlm/2D/rmts/images/trial-62.png,"['data/vlm/2D/rmts/images/source-62.png', 'data/vlm/2D/rmts/images/target1-62.png', 'data/vlm/2D/rmts/images/target2-62.png']",shape,cloud,source,top,left,1st,[Target Pair 2].
data/vlm/2D/rmts/images/trial-105.png,"['data/vlm/2D/rmts/images/source-105.png', 'data/vlm/2D/rmts/images/target1-105.png', 'data/vlm/2D/rmts/images/target2-105.png']",color,blue,target1,bottom left,left,1st,[Target Pair 2].
data/vlm/2D/rmts/images/trial-98.png,"['data/vlm/2D/rmts/images/source-98.png', 'data/vlm/2D/rmts/images/target1-98.png', 'data/vlm/2D/rmts/images/target2-98.png']",shape,circle,target2,bottom right,left,1st,[circle].
data/vlm/2D/rmts/images/trial-82.png,"['data/vlm/2D/rmts/images/source-82.png', 'data/vlm/2D/rmts/images/target1-82.png', 'data/vlm/2D/rmts/images/target2-82.png']",color,darkorange,target2,bottom right,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-176.png,"['data/vlm/2D/rmts/images/source-176.png', 'data/vlm/2D/rmts/images/target1-176.png', 'data/vlm/2D/rmts/images/target2-176.png']",shape,triangle,target2,bottom right,left,1st,[circle].
data/vlm/2D/rmts/images/trial-191.png,"['data/vlm/2D/rmts/images/source-191.png', 'data/vlm/2D/rmts/images/target1-191.png', 'data/vlm/2D/rmts/images/target2-191.png']",shape,square,source,top,left,1st,[circle].
data/vlm/2D/rmts/images/trial-120.png,"['data/vlm/2D/rmts/images/source-120.png', 'data/vlm/2D/rmts/images/target1-120.png', 'data/vlm/2D/rmts/images/target2-120.png']",shape,square,target2,bottom right,left,1st,[circle].
data/vlm/2D/rmts/images/trial-156.png,"['data/vlm/2D/rmts/images/source-156.png', 'data/vlm/2D/rmts/images/target1-156.png', 'data/vlm/2D/rmts/images/target2-156.png']",color,blue,source,top,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-111.png,"['data/vlm/2D/rmts/images/source-111.png', 'data/vlm/2D/rmts/images/target1-111.png', 'data/vlm/2D/rmts/images/target2-111.png']",shape,square,target1,bottom left,right,2nd,[Target Pair 2].
data/vlm/2D/rmts/images/trial-15.png,"['data/vlm/2D/rmts/images/source-15.png', 'data/vlm/2D/rmts/images/target1-15.png', 'data/vlm/2D/rmts/images/target2-15.png']",color,gray,target1,bottom left,left,1st,[red].
data/vlm/2D/rmts/images/trial-54.png,"['data/vlm/2D/rmts/images/source-54.png', 'data/vlm/2D/rmts/images/target1-54.png', 'data/vlm/2D/rmts/images/target2-54.png']",color,red,target1,bottom left,left,1st,[circle].
data/vlm/2D/rmts/images/trial-152.png,"['data/vlm/2D/rmts/images/source-152.png', 'data/vlm/2D/rmts/images/target1-152.png', 'data/vlm/2D/rmts/images/target2-152.png']",color,red,target2,bottom right,left,1st,[circle].
data/vlm/2D/rmts/images/trial-104.png,"['data/vlm/2D/rmts/images/source-104.png', 'data/vlm/2D/rmts/images/target1-104.png', 'data/vlm/2D/rmts/images/target2-104.png']",shape,cross,target1,bottom left,left,1st,[circle].
data/vlm/2D/rmts/images/trial-0.png,"['data/vlm/2D/rmts/images/source-0.png', 'data/vlm/2D/rmts/images/target1-0.png', 'data/vlm/2D/rmts/images/target2-0.png']",color,darkorange,target1,bottom left,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-13.png,"['data/vlm/2D/rmts/images/source-13.png', 'data/vlm/2D/rmts/images/target1-13.png', 'data/vlm/2D/rmts/images/target2-13.png']",color,purple,source,top,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-153.png,"['data/vlm/2D/rmts/images/source-153.png', 'data/vlm/2D/rmts/images/target1-153.png', 'data/vlm/2D/rmts/images/target2-153.png']",shape,heart,target1,bottom left,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-168.png,"['data/vlm/2D/rmts/images/source-168.png', 'data/vlm/2D/rmts/images/target1-168.png', 'data/vlm/2D/rmts/images/target2-168.png']",color,green,target1,bottom left,left,1st,[circle].
data/vlm/2D/rmts/images/trial-3.png,"['data/vlm/2D/rmts/images/source-3.png', 'data/vlm/2D/rmts/images/target1-3.png', 'data/vlm/2D/rmts/images/target2-3.png']",color,gray,target2,bottom right,left,1st,[circle].
data/vlm/2D/rmts/images/trial-26.png,"['data/vlm/2D/rmts/images/source-26.png', 'data/vlm/2D/rmts/images/target1-26.png', 'data/vlm/2D/rmts/images/target2-26.png']",shape,cloud,source,top,right,2nd,[red].
data/vlm/2D/rmts/images/trial-195.png,"['data/vlm/2D/rmts/images/source-195.png', 'data/vlm/2D/rmts/images/target1-195.png', 'data/vlm/2D/rmts/images/target2-195.png']",color,blue,target1,bottom left,left,1st,[circle].
data/vlm/2D/rmts/images/trial-4.png,"['data/vlm/2D/rmts/images/source-4.png', 'data/vlm/2D/rmts/images/target1-4.png', 'data/vlm/2D/rmts/images/target2-4.png']",shape,triangle,source,top,left,1st,[Target Pair 2].
data/vlm/2D/rmts/images/trial-145.png,"['data/vlm/2D/rmts/images/source-145.png', 'data/vlm/2D/rmts/images/target1-145.png', 'data/vlm/2D/rmts/images/target2-145.png']",color,purple,source,top,left,1st,[circle].
data/vlm/2D/rmts/images/trial-151.png,"['data/vlm/2D/rmts/images/source-151.png', 'data/vlm/2D/rmts/images/target1-151.png', 'data/vlm/2D/rmts/images/target2-151.png']",shape,square,target1,bottom left,right,2nd,[circle].
data/vlm/2D/rmts/images/trial-36.png,"['data/vlm/2D/rmts/images/source-36.png', 'data/vlm/2D/rmts/images/target1-36.png', 'data/vlm/2D/rmts/images/target2-36.png']",color,purple,target2,bottom right,right,2nd,[Target Pair 2].
data/vlm/2D/rmts/images/trial-148.png,"['data/vlm/2D/rmts/images/source-148.png', 'data/vlm/2D/rmts/images/target1-148.png', 'data/vlm/2D/rmts/images/target2-148.png']",color,darkorange,source,top,right,2nd,[circle].
